question_id,question_type,question,should_abstain,requires_sql_counts,must_include_counterevidence,difficulty
q_034,counterevidence,What evidence contradicts the claim that all enterprise customers struggle with SSO? (34),False,False,True,easy
q_035,revenue_impact,Which customer complaints are associated with delayed or lost sales opportunities? (35),False,True,False,hard
q_036,no_answer,What do customers think about cryptocurrency payments? (36),True,False,False,hard
q_037,root_cause,Why are enterprise administrators struggling with onboarding? (37),False,False,True,medium
q_038,segment_comparison,Which reporting problems are most common among mid-market and enterprise accounts? (38),False,False,False,easy
q_039,release_impact,Did notification complaints increase after version 3.2.0? (39),False,True,True,medium
q_040,counterevidence,What evidence contradicts the claim that all enterprise customers struggle with SSO? (40),False,False,True,easy
q_041,revenue_impact,Which customer complaints are associated with delayed or lost sales opportunities? (41),False,True,False,medium
q_042,no_answer,What do customers think about cryptocurrency payments? (42),True,False,False,easy
q_043,root_cause,Why are enterprise administrators struggling with onboarding? (43),False,False,True,easy
q_044,segment_comparison,Which reporting problems are most common among mid-market and enterprise accounts? (44),False,False,False,medium
q_045,release_impact,Did notification complaints increase after version 3.2.0? (45),False,True,True,hard
q_046,counterevidence,What evidence contradicts the claim that all enterprise customers struggle with SSO? (46),False,False,True,medium
q_047,revenue_impact,Which customer complaints are associated with delayed or lost sales opportunities? (47),False,True,False,hard
q_048,no_answer,What do customers think about cryptocurrency payments? (48),True,False,False,hard
q_049,root_cause,Why are enterprise administrators struggling with onboarding? (49),False,False,True,easy
q_050,segment_comparison,Which reporting problems are most common among mid-market and enterprise accounts? (50),False,False,False,easy
q_051,release_impact,Did notification complaints increase after version 3.2.0? (51),False,True,True,medium
q_052,counterevidence,What evidence contradicts the claim that all enterprise customers struggle with SSO? (52),False,False,True,medium
q_053,revenue_impact,Which customer complaints are associated with delayed or lost sales opportunities? (53),False,True,False,medium
q_054,no_answer,What do customers think about cryptocurrency payments? (54),True,False,False,easy
q_055,root_cause,Why are enterprise administrators struggling with onboarding? (55),False,False,True,medium
q_056,segment_comparison,Which reporting problems are most common among mid-market and enterprise accounts? (56),False,False,False,easy
q_057,release_impact,Did notification complaints increase after version 3.2.0? (57),False,True,True,easy
q_058,counterevidence,What evidence contradicts the claim that all enterprise customers struggle with SSO? (58),False,False,True,easy
q_059,revenue_impact,Which customer complaints are associated with delayed or lost sales opportunities? (59),False,True,False,easy
q_060,no_answer,What do customers think about cryptocurrency payments? (60),True,False,False,easy
q_061,root_cause,Why are enterprise administrators struggling with onboarding? (61),False,False,True,easy
q_062,segment_comparison,Which reporting problems are most common among mid-market and enterprise accounts? (62),False,False,False,medium
q_063,release_impact,Did notification complaints increase after version 3.2.0? (63),False,True,True,easy
q_064,counterevidence,What evidence contradicts the claim that all enterprise customers struggle with SSO? (64),False,False,True,hard
q_065,revenue_impact,Which customer complaints are associated with delayed or lost sales opportunities? (65),False,True,False,hard
q_066,no_answer,What do customers think about cryptocurrency payments? (66),True,False,False,easy
q_067,root_cause,Why are enterprise administrators struggling with onboarding? (67),False,False,True,hard
q_068,segment_comparison,Which reporting problems are most common among mid-market and enterprise accounts? (68),False,False,False,medium
q_069,release_impact,Did notification complaints increase after version 3.2.0? (69),False,True,True,hard
q_070,counterevidence,What evidence contradicts the claim that all enterprise customers struggle with SSO? (70),False,False,True,hard
q_071,revenue_impact,Which customer complaints are associated with delayed or lost sales opportunities? (71),False,True,False,medium
q_072,no_answer,What do customers think about cryptocurrency payments? (72),True,False,False,hard
q_073,root_cause,Why are enterprise administrators struggling with onboarding? (73),False,False,True,easy
q_074,segment_comparison,Which reporting problems are most common among mid-market and enterprise accounts? (74),False,False,False,easy
q_075,release_impact,Did notification complaints increase after version 3.2.0? (75),False,True,True,easy
q_076,counterevidence,What evidence contradicts the claim that all enterprise customers struggle with SSO? (76),False,False,True,easy
q_077,revenue_impact,Which customer complaints are associated with delayed or lost sales opportunities? (77),False,True,False,hard
q_078,no_answer,What do customers think about cryptocurrency payments? (78),True,False,False,easy
q_079,root_cause,Why are enterprise administrators struggling with onboarding? (79),False,False,True,medium
q_080,segment_comparison,Which reporting problems are most common among mid-market and enterprise accounts? (80),False,False,False,easy
q_081,release_impact,Did notification complaints increase after version 3.2.0? (81),False,True,True,easy
q_082,counterevidence,What evidence contradicts the claim that all enterprise customers struggle with SSO? (82),False,False,True,medium
q_083,revenue_impact,Which customer complaints are associated with delayed or lost sales opportunities? (83),False,True,False,hard
q_084,no_answer,What do customers think about cryptocurrency payments? (84),True,False,False,hard
q_085,root_cause,Why are enterprise administrators struggling with onboarding? (85),False,False,True,medium
q_086,segment_comparison,Which reporting problems are most common among mid-market and enterprise accounts? (86),False,False,False,hard
q_087,release_impact,Did notification complaints increase after version 3.2.0? (87),False,True,True,medium
q_088,counterevidence,What evidence contradicts the claim that all enterprise customers struggle with SSO? (88),False,False,True,medium
q_089,revenue_impact,Which customer complaints are associated with delayed or lost sales opportunities? (89),False,True,False,easy
q_090,no_answer,What do customers think about cryptocurrency payments? (90),True,False,False,hard
q_091,root_cause,Why are enterprise administrators struggling with onboarding? (91),False,False,True,hard
q_092,segment_comparison,Which reporting problems are most common among mid-market and enterprise accounts? (92),False,False,False,medium
q_093,release_impact,Did notification complaints increase after version 3.2.0? (93),False,True,True,easy
q_094,counterevidence,What evidence contradicts the claim that all enterprise customers struggle with SSO? (94),False,False,True,medium
q_095,revenue_impact,Which customer complaints are associated with delayed or lost sales opportunities? (95),False,True,False,hard
q_096,no_answer,What do customers think about cryptocurrency payments? (96),True,False,False,medium
q_097,root_cause,Why are enterprise administrators struggling with onboarding? (97),False,False,True,easy
q_098,segment_comparison,Which reporting problems are most common among mid-market and enterprise accounts? (98),False,False,False,medium
q_099,release_impact,Did notification complaints increase after version 3.2.0? (99),False,True,True,hard
q_100,counterevidence,What evidence contradicts the claim that all enterprise customers struggle with SSO? (100),False,False,True,medium
q_101,revenue_impact,Which customer complaints are associated with delayed or lost sales opportunities? (101),False,True,False,easy
q_102,no_answer,What do customers think about cryptocurrency payments? (102),True,False,False,easy
q_103,root_cause,Why are enterprise administrators struggling with onboarding? (103),False,False,True,medium
q_104,segment_comparison,Which reporting problems are most common among mid-market and enterprise accounts? (104),False,False,False,easy
q_105,release_impact,Did notification complaints increase after version 3.2.0? (105),False,True,True,hard
q_106,counterevidence,What evidence contradicts the claim that all enterprise customers struggle with SSO? (106),False,False,True,easy
q_107,revenue_impact,Which customer complaints are associated with delayed or lost sales opportunities? (107),False,True,False,medium
q_108,no_answer,What do customers think about cryptocurrency payments? (108),True,False,False,hard
q_109,root_cause,Why are enterprise administrators struggling with onboarding? (109),False,False,True,hard
q_110,segment_comparison,Which reporting problems are most common among mid-market and enterprise accounts? (110),False,False,False,medium
q_111,release_impact,Did notification complaints increase after version 3.2.0? (111),False,True,True,medium
q_112,counterevidence,What evidence contradicts the claim that all enterprise customers struggle with SSO? (112),False,False,True,medium
q_113,revenue_impact,Which customer complaints are associated with delayed or lost sales opportunities? (113),False,True,False,hard
q_114,no_answer,What do customers think about cryptocurrency payments? (114),True,False,False,hard
q_115,root_cause,Why are enterprise administrators struggling with onboarding? (115),False,False,True,hard
q_116,segment_comparison,Which reporting problems are most common among mid-market and enterprise accounts? (116),False,False,False,medium
q_117,release_impact,Did notification complaints increase after version 3.2.0? (117),False,True,True,easy
q_118,counterevidence,What evidence contradicts the claim that all enterprise customers struggle with SSO? (118),False,False,True,hard
q_119,revenue_impact,Which customer complaints are associated with delayed or lost sales opportunities? (119),False,True,False,hard
q_120,no_answer,What do customers think about cryptocurrency payments? (120),True,False,False,easy
q_121,root_cause,Why are enterprise administrators struggling with onboarding? (121),False,False,True,hard
q_122,segment_comparison,Which reporting problems are most common among mid-market and enterprise accounts? (122),False,False,False,easy
q_123,release_impact,Did notification complaints increase after version 3.2.0? (123),False,True,True,easy
q_124,counterevidence,What evidence contradicts the claim that all enterprise customers struggle with SSO? (124),False,False,True,easy
q_125,revenue_impact,Which customer complaints are associated with delayed or lost sales opportunities? (125),False,True,False,hard
q_126,no_answer,What do customers think about cryptocurrency payments? (126),True,False,False,easy
q_127,root_cause,Why are enterprise administrators struggling with onboarding? (127),False,False,True,medium
q_128,segment_comparison,Which reporting problems are most common among mid-market and enterprise accounts? (128),False,False,False,hard
q_129,release_impact,Did notification complaints increase after version 3.2.0? (129),False,True,True,hard
q_130,counterevidence,What evidence contradicts the claim that all enterprise customers struggle with SSO? (130),False,False,True,hard
